Date and Time of initial call,Date and time of Ranger response,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
07/02/2020 10:00:00 AM,07/02/2020 10:20:00 AM,Central Park,conservatory water,Mallard Duck,Public,Native,Healthy,0.5,Adult;#Infant,Birds,NA,Monitored Animal,12,FALSE,TRUE,NA,0.25,FALSE,FALSE,NA
07/01/2020 03:15:00 PM,07/01/2020 03:22:00 PM,Morningside Park,W 113th St and Morningside Ave,Lovebird,Employee,Exotic,N/A,0.5,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/01/2020 12:45:00 PM,07/01/2020 02:18:00 PM,Inwood Hill Park,Dykman & Staff,Groundhog,Employee,Native,N/A,1,Juvenile,Small Mammals-non RVS,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/01/2020 09:15:00 AM,07/01/2020 09:15:00 AM,Central Park,"West of North Meadow Rec Ctr, on trail, base of oak tree",Eastern Gray Squirrel,"Conservancies/""Friends of"" Groups",Native,DOA,0.5,Adult,Small Mammals-non RVS,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/01/2020 10:10:00 AM,07/01/2020 10:12:00 AM,Sherman Creek,river bank south of gated entrance,Canada Goose,"Conservancies/""Friends of"" Groups",Native,Injured,1,Adult,Birds,311-03027870,Rehabilitator,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/01/2020 09:15:00 AM,07/01/2020 11:30:00 AM,Riverside Park,97th St entrance river banks,Atlantic Menhaden,"Conservancies/""Friends of"" Groups",Native,DOA,1,Adult;#Juvenile;#Infant,Fish-numerous quantity,NA,Advised/Educated others,900,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/30/2020 03:30:00 PM,06/30/2020 03:42:00 PM,Inwood Hill Park,Inwood Hill Park,Groundhog,Employee,Native,Injured,1,Juvenile,Small Mammals-non RVS,NA,Monitored Animal,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/27/2020 10:20:00 AM,06/27/2020 10:30:00 AM,Morningside Park,114th st & morningside ave,Lovebird,Employee,Exotic,N/A,2.25,Adult,Birds,NA,Monitored Animal,1,TRUE,TRUE,NA,2,FALSE,FALSE,NA
06/26/2020 08:00:00 AM,06/26/2020 09:00:00 AM,Central Park,James Michael Levin Playground at E. 76th street,Eastern Gray Squirrel,"Conservancies/""Friends of"" Groups",Native,DOA,0.5,Adult,Small Mammals-non RVS,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/22/2020 02:50:00 PM,06/22/2020 02:50:00 PM,West Harlem Piers,132nd St & Marginal St.,Rock Dove,Employee,Native,Healthy,1,Adult,Birds,311-02899372,Monitored Animal,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/22/2020 01:30:00 PM,06/22/2020 01:30:00 PM,Inwood Hill Park,"On the dead end greenway along the river, about 190th street",Blue Jay,Public,Native,Healthy,1,Juvenile,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/22/2020 11:30:00 AM,06/22/2020 12:00:00 PM,Riverside Park,Dinosaur Playground W 97th Street and Riverside Drive,Raccoon,Employee,Native,N/A,0.5,Juvenile,Small Mammals-RVS,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/20/2020 08:15:00 AM,06/20/2020 08:15:00 AM,Central Park,conservatory water,Mallard Duck,Public,Native,Healthy,0.25,Adult;#Infant,Birds,NA,Monitored Animal,10,FALSE,TRUE,NA,0.25,FALSE,FALSE,NA
06/19/2020 06:15:00 PM,06/19/2020 06:20:00 PM,Central Park,"106th St and East Drive, Compost Hill",Baltimore Oriole,Public,Native,Unhealthy,1,Infant,Birds,311-02842611,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,TRUE,FALSE,NA
