Date and Time of initial call,Date and time of Ranger response,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
12/13/2020 02:20:00 PM,12/13/2020 02:40:00 PM,Wolfe's Pond Park,"across from hockey rink (40.518572, -74.18719)",Striped Skunk,Employee,Native,Injured,2,Adult,Small Mammals-RVS,311-04863875,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,108889
12/02/2020 02:00:00 PM,12/07/2020 09:20:00 AM,Willowbrook Park,Willowbrook Pond,Domestic Duck,Employee,Domestic,Healthy,1,Adult,Birds;#Domestic,NA,Relocated/Condition Corrected,2,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
12/07/2020 01:45:00 PM,12/07/2020 01:55:00 PM,Kingdom Pond Park,Corner of Kingdom ave and Hylan,White-tailed Deer,Employee,Native,Injured,1,Adult,Deer,311-04805032,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,TRUE,TRUE,NA
12/01/2020 06:40:00 PM,12/05/2020 12:15:00 PM,Willowbrook Park,Willowbrook Lake,Domestic Duck,Employee,Domestic,Healthy,0.5,Adult,Domestic;#Birds,NA,Monitored Animal,3,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
12/03/2020 11:00:00 AM,12/05/2020 11:20:00 AM,Seaside Wildlife Nature Park,Shore line near playground,Brant Goose,Employee,Native,Injured,0.75,Adult,Birds,NA,Monitored Animal,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
12/03/2020 11:00:00 AM,12/03/2020 11:10:00 AM,Seaside Wildlife Nature Park,Entrance of park at the end of Cleveland Avenue,Brant Goose,Employee,Native,Injured,0.5,Adult,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
12/01/2020 06:40:00 PM,12/02/2020 09:45:00 AM,Willowbrook Park,Willowbrook Park Pond,Domestic Duck,Employee,Domestic,Healthy,12,Adult,Birds;#Domestic,NA,Monitored Animal,4,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
12/02/2020 01:00:00 PM,12/02/2020 01:20:00 PM,Willowbrook Park,Willowbrook Pond,Domestic Duck,Employee,Domestic,Healthy,1,Adult,Domestic;#Birds,NA,Rehabilitator,4,FALSE,FALSE,They All Want to Live,NA,FALSE,FALSE,NA
12/02/2020 10:40:00 AM,12/02/2020 11:00:00 AM,Great Kills Park,"Cedar Grove Park, at the end of New Dorp Lane",Groundhog,Employee,Native,Unhealthy,1,Adult,Small Mammals-non RVS,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
11/29/2020 11:25:00 AM,11/29/2020 02:35:00 PM,Conference House Park,On beach between Swinnerton and and Main St off Bilop,Gull (Unknown),Employee,Native,N/A,1,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
11/27/2020 12:30:00 PM,11/27/2020 01:30:00 PM,Wolfe's Pond Park,by beach trailers,Herring Gull,Employee,Native,DOA,0.75,Adult,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
11/27/2020 08:00:00 AM,11/27/2020 08:30:00 AM,Franklin D. Roosevelt Boardwalk and Beach,bike path north of Oceanbreeze Fishing Pier- Father Capodanno Blvd and Seaview Ave,White-tailed Deer,Employee,Native,Injured,3,Adult,Deer,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
11/20/2020 11:40:00 AM,11/24/2020 11:18:00 AM,Willowbrook Park,Willowbrook Lake,Domestic Duck,Observed by Ranger,Domestic,Healthy,0.5,Adult,Birds,NA,Monitored Animal,4,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
11/20/2020 11:40:00 AM,11/20/2020 11:40:00 AM,Willowbrook Park,Willowbrook Lake,Domestic Duck,Observed by Ranger,Domestic,Healthy,1.5,Adult,Birds,311-04653221,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,107494
11/17/2020 10:00:00 AM,11/17/2020 10:36:00 AM,Snug Harbor Cultural Center,Snug Harbor Wetlands,Great Blue Heron,Public,Native,Healthy,0.75,Adult,Birds,NA,Monitored Animal,1,FALSE,TRUE,NA,0.5,FALSE,FALSE,NA
11/17/2020 09:26:00 AM,11/17/2020 09:30:00 AM,Clove Lakes Park,Ice Skating Rink- Victory Blvd and cypress st,White-tailed Deer,Employee,Native,N/A,1.25,Adult,Deer,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
11/16/2020 03:44:00 PM,11/16/2020 03:45:00 PM,Silver Lake Park,Forest Ave and Havenwood Rd,Wild Turkey,Observed by Ranger,Native,Healthy,0.25,Adult;#Juvenile,Birds,NA,Monitored Animal,18,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
11/16/2020 06:45:00 PM,11/16/2020 07:15:00 PM,Clove Lakes Park,Victory Blvd and Cypress st,White-tailed Deer,Central,Native,N/A,1.25,Adult,Deer,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
11/07/2020 11:10:00 AM,11/07/2020 11:10:00 AM,Clove Lakes Park,In the water by the Stonehouse Restaurant bridge,Eastern Red Bat,Observed by Ranger,Native,Healthy,0.75,Adult,Small Mammals-RVS,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
11/05/2020 01:15:00 AM,11/05/2020 12:00:00 AM,Clove Lakes Park,Martling Pond,Domestic Duck,Other,Domestic,Healthy,0.5,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
11/05/2020 02:14:00 PM,11/05/2020 02:30:00 PM,Greenstreet across 269 Cambridge Avenue,Crosstreets were Willow Road East and Cambridge Avenue,White-tailed Deer,Employee,Native,Injured,4,Adult,Deer,311-04510186,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,TRUE,NA
11/04/2020 08:05:00 AM,11/04/2020 08:05:00 AM,Blue Heron Park,Blue Heron Nature Center,Pine Siskin,Observed by Ranger,Native,Injured,0.15,Adult,Birds,NA,Relocated/Condition Corrected,1,FALSE,TRUE,NA,0.15,FALSE,FALSE,NA
